,Unnamed: 0,SampleName,SequencingRun_or_FolderName,Read1_Name,Read1_checksum,Read1_Count,Read2_Name,Read2_checksum,Read2_Count,PairEnd_ReadCount_Equal?,Fastq_PATH,r1_zip,r2_zip,r1_key1,r1_r2_
3144,3144,SGLP-0029,SGPC-02,SGLP-0029_S28_L001_R1_001.fastq.gz;SGLP-0029_S28_L002_R1_001.fastq.gz,0c2c82d75a8caf879a0436943f0f7665;09acbab55d7888761b4a3960f567fe22,1360587;1411704,SGLP-0029_S28_L001_R2_001.fastq.gz;SGLP-0029_S28_L002_R2_001.fastq.gz,70078f210ee7a449018aeb79fe5a3c9e;55a45bf94f5fe0a54f6c5fee02496a45,1360587;1411704,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0029_S28_L001_R1_001.fastq.gz': '0c2c82d75a8caf879a0436943f0f7665', 'SGLP-0029_S28_L002_R1_001.fastq.gz': '09acbab55d7888761b4a3960f567fe22'}","{'SGLP-0029_S28_L001_R2_001.fastq.gz': '70078f210ee7a449018aeb79fe5a3c9e', 'SGLP-0029_S28_L002_R2_001.fastq.gz': '55a45bf94f5fe0a54f6c5fee02496a45'}",SGLP-0029_S28_L001_R1_001.fastq.gz,{}
3145,3145,SGLP-0030,SGPC-02,SGLP-0030_S29_L001_R1_001.fastq.gz;SGLP-0030_S29_L002_R1_001.fastq.gz,0f40de2fb8de67d327395a65cf46708b;99ef1f230468af749cf21da58656ed7c,1359319;1404788,SGLP-0030_S29_L001_R2_001.fastq.gz;SGLP-0030_S29_L002_R2_001.fastq.gz,dee76c9bf910527b50f8975fc4666d78;bf657972204fd1a06b8331eef4ec9bb3,1359319;1404788,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0030_S29_L001_R1_001.fastq.gz': '0f40de2fb8de67d327395a65cf46708b', 'SGLP-0030_S29_L002_R1_001.fastq.gz': '99ef1f230468af749cf21da58656ed7c'}","{'SGLP-0030_S29_L001_R2_001.fastq.gz': 'dee76c9bf910527b50f8975fc4666d78', 'SGLP-0030_S29_L002_R2_001.fastq.gz': 'bf657972204fd1a06b8331eef4ec9bb3'}",SGLP-0030_S29_L001_R1_001.fastq.gz,{}
3146,3146,SGLP-0031,SGPC-02,SGLP-0031_S30_L001_R1_001.fastq.gz;SGLP-0031_S30_L002_R1_001.fastq.gz,863ef0f700c4023d3e6cde44fb84ca14;dbe693cc53d6f43ef130618074d5ab1a,1312851;1358812,SGLP-0031_S30_L001_R2_001.fastq.gz;SGLP-0031_S30_L002_R2_001.fastq.gz,7fbe9eeeb679eeebf18c62a88eaaf4a6;ad6ea036f7f25a8da759075c7aeb75d4,1312851;1358812,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0031_S30_L001_R1_001.fastq.gz': '863ef0f700c4023d3e6cde44fb84ca14', 'SGLP-0031_S30_L002_R1_001.fastq.gz': 'dbe693cc53d6f43ef130618074d5ab1a'}","{'SGLP-0031_S30_L001_R2_001.fastq.gz': '7fbe9eeeb679eeebf18c62a88eaaf4a6', 'SGLP-0031_S30_L002_R2_001.fastq.gz': 'ad6ea036f7f25a8da759075c7aeb75d4'}",SGLP-0031_S30_L001_R1_001.fastq.gz,{}
3147,3147,SGLP-0032,SGPC-02,SGLP-0032_S31_L001_R1_001.fastq.gz;SGLP-0032_S31_L002_R1_001.fastq.gz,a3d41186b856135ec477e8355bb1684a;b7a7140e70024a2bbc5cfe66312856bb,1215731;1247390,SGLP-0032_S31_L001_R2_001.fastq.gz;SGLP-0032_S31_L002_R2_001.fastq.gz,7e542efde5ad1fdb36a2283418cd51e7;d2424b83e84390ab172e4100f7e12722,1215731;1247390,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0032_S31_L001_R1_001.fastq.gz': 'a3d41186b856135ec477e8355bb1684a', 'SGLP-0032_S31_L002_R1_001.fastq.gz': 'b7a7140e70024a2bbc5cfe66312856bb'}","{'SGLP-0032_S31_L001_R2_001.fastq.gz': '7e542efde5ad1fdb36a2283418cd51e7', 'SGLP-0032_S31_L002_R2_001.fastq.gz': 'd2424b83e84390ab172e4100f7e12722'}",SGLP-0032_S31_L001_R1_001.fastq.gz,{}
3148,3148,SGLP-0033,SGPC-02,SGLP-0033_S32_L001_R1_001.fastq.gz;SGLP-0033_S32_L002_R1_001.fastq.gz,6d38aceb3ccce4712796b2e8102a277e;29cc2268439daa3d8ccaf1e9dfec4c25,1514462;1565212,SGLP-0033_S32_L001_R2_001.fastq.gz;SGLP-0033_S32_L002_R2_001.fastq.gz,6764982e411fd90f82a61871647db556;08dc2e675ebadf18605b6e8188e87aee,1514462;1565212,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0033_S32_L001_R1_001.fastq.gz': '6d38aceb3ccce4712796b2e8102a277e', 'SGLP-0033_S32_L002_R1_001.fastq.gz': '29cc2268439daa3d8ccaf1e9dfec4c25'}","{'SGLP-0033_S32_L001_R2_001.fastq.gz': '6764982e411fd90f82a61871647db556', 'SGLP-0033_S32_L002_R2_001.fastq.gz': '08dc2e675ebadf18605b6e8188e87aee'}",SGLP-0033_S32_L001_R1_001.fastq.gz,{}
3149,3149,SGLP-0034,SGPC-02,SGLP-0034_S33_L001_R1_001.fastq.gz;SGLP-0034_S33_L002_R1_001.fastq.gz,24587f70007629498ae8a4a5375cd46a;2c77d7f473056a099b0b49ec284154a1,1798185;1864296,SGLP-0034_S33_L001_R2_001.fastq.gz;SGLP-0034_S33_L002_R2_001.fastq.gz,221c7cd37f223332739da025c68e6c64;70ce7e95db5959b1da4229e72cdc6429,1798185;1864296,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0034_S33_L001_R1_001.fastq.gz': '24587f70007629498ae8a4a5375cd46a', 'SGLP-0034_S33_L002_R1_001.fastq.gz': '2c77d7f473056a099b0b49ec284154a1'}","{'SGLP-0034_S33_L001_R2_001.fastq.gz': '221c7cd37f223332739da025c68e6c64', 'SGLP-0034_S33_L002_R2_001.fastq.gz': '70ce7e95db5959b1da4229e72cdc6429'}",SGLP-0034_S33_L001_R1_001.fastq.gz,{}
3150,3150,SGLP-0035,SGPC-02,SGLP-0035_S34_L001_R1_001.fastq.gz;SGLP-0035_S34_L002_R1_001.fastq.gz,626b42cada832efa43cb00fcb0b416cf;77e569b75d6ed167903d8089da0d73ae,1461972;1505809,SGLP-0035_S34_L001_R2_001.fastq.gz;SGLP-0035_S34_L002_R2_001.fastq.gz,b1ddf9f63b5a3222b397b23f835804ec;c5051d14b8804aa3406687aa859b68a7,1461972;1505809,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0035_S34_L001_R1_001.fastq.gz': '626b42cada832efa43cb00fcb0b416cf', 'SGLP-0035_S34_L002_R1_001.fastq.gz': '77e569b75d6ed167903d8089da0d73ae'}","{'SGLP-0035_S34_L001_R2_001.fastq.gz': 'b1ddf9f63b5a3222b397b23f835804ec', 'SGLP-0035_S34_L002_R2_001.fastq.gz': 'c5051d14b8804aa3406687aa859b68a7'}",SGLP-0035_S34_L001_R1_001.fastq.gz,{}
3151,3151,SGLP-0036,SGPC-02,SGLP-0036_S35_L001_R1_001.fastq.gz;SGLP-0036_S35_L002_R1_001.fastq.gz,2c8ad2364fe91c84b16cd28fd95c7fcd;6f859ce4e32416c09e262176ad45c9b1,1368747;1420389,SGLP-0036_S35_L001_R2_001.fastq.gz;SGLP-0036_S35_L002_R2_001.fastq.gz,1b71597da9a67c29b9e1634d9911a4f6;7e08dd9dd82e2fa1cb3d3e1117620727,1368747;1420389,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0036_S35_L001_R1_001.fastq.gz': '2c8ad2364fe91c84b16cd28fd95c7fcd', 'SGLP-0036_S35_L002_R1_001.fastq.gz': '6f859ce4e32416c09e262176ad45c9b1'}","{'SGLP-0036_S35_L001_R2_001.fastq.gz': '1b71597da9a67c29b9e1634d9911a4f6', 'SGLP-0036_S35_L002_R2_001.fastq.gz': '7e08dd9dd82e2fa1cb3d3e1117620727'}",SGLP-0036_S35_L001_R1_001.fastq.gz,{}
3152,3152,SGLP-0037,SGPC-02,SGLP-0037_S36_L001_R1_001.fastq.gz;SGLP-0037_S36_L002_R1_001.fastq.gz,5fda72cc252c6e30cc2368fbca0ef666;c9168a21fef38f70ac3aea017ce157ce,751381;763965,SGLP-0037_S36_L001_R2_001.fastq.gz;SGLP-0037_S36_L002_R2_001.fastq.gz,4263059520d5badc9cd3cf85b3ac9b93;cefe31df51ed0c89f120145996bf814c,751381;763965,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0037_S36_L001_R1_001.fastq.gz': '5fda72cc252c6e30cc2368fbca0ef666', 'SGLP-0037_S36_L002_R1_001.fastq.gz': 'c9168a21fef38f70ac3aea017ce157ce'}","{'SGLP-0037_S36_L001_R2_001.fastq.gz': '4263059520d5badc9cd3cf85b3ac9b93', 'SGLP-0037_S36_L002_R2_001.fastq.gz': 'cefe31df51ed0c89f120145996bf814c'}",SGLP-0037_S36_L001_R1_001.fastq.gz,{}
3153,3153,SGLP-0038,SGPC-02,SGLP-0038_S37_L001_R1_001.fastq.gz;SGLP-0038_S37_L002_R1_001.fastq.gz,e95960755d1f77a87bb00710cbef8ff7;d44f642c63bb40600116849e0b08d1e2,1195911;1236235,SGLP-0038_S37_L001_R2_001.fastq.gz;SGLP-0038_S37_L002_R2_001.fastq.gz,a51edc8ea5a7c6d11f4b39115cd44434;5f9b2318ecdfcd4f886179ecdfc9d1e6,1195911;1236235,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0038_S37_L001_R1_001.fastq.gz': 'e95960755d1f77a87bb00710cbef8ff7', 'SGLP-0038_S37_L002_R1_001.fastq.gz': 'd44f642c63bb40600116849e0b08d1e2'}","{'SGLP-0038_S37_L001_R2_001.fastq.gz': 'a51edc8ea5a7c6d11f4b39115cd44434', 'SGLP-0038_S37_L002_R2_001.fastq.gz': '5f9b2318ecdfcd4f886179ecdfc9d1e6'}",SGLP-0038_S37_L001_R1_001.fastq.gz,{}
3154,3154,SGLP-0039,SGPC-02,SGLP-0039_S38_L001_R1_001.fastq.gz;SGLP-0039_S38_L002_R1_001.fastq.gz,78e595cbbc218b4b69a98fb47cb14955;8a698ae81c355722e4872d3115792204,1325163;1366942,SGLP-0039_S38_L001_R2_001.fastq.gz;SGLP-0039_S38_L002_R2_001.fastq.gz,6f05216b088784eded2aa931ff614f74;23b4eee54c660c8fc4a1bdba42cf23eb,1325163;1366942,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0039_S38_L001_R1_001.fastq.gz': '78e595cbbc218b4b69a98fb47cb14955', 'SGLP-0039_S38_L002_R1_001.fastq.gz': '8a698ae81c355722e4872d3115792204'}","{'SGLP-0039_S38_L001_R2_001.fastq.gz': '6f05216b088784eded2aa931ff614f74', 'SGLP-0039_S38_L002_R2_001.fastq.gz': '23b4eee54c660c8fc4a1bdba42cf23eb'}",SGLP-0039_S38_L001_R1_001.fastq.gz,{}
3155,3155,SGLP-0040,SGPC-02,SGLP-0040_S39_L001_R1_001.fastq.gz;SGLP-0040_S39_L002_R1_001.fastq.gz,d1572670cfed1bb4eaf20e79446d3cfd;63d000ad9280eb0c48889e9d665bf16c,576891;595133,SGLP-0040_S39_L001_R2_001.fastq.gz;SGLP-0040_S39_L002_R2_001.fastq.gz,3c707bd34988d017a26f727dd4275ead;99a3d8715718ebd63e71419a445d8328,576891;595133,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0040_S39_L001_R1_001.fastq.gz': 'd1572670cfed1bb4eaf20e79446d3cfd', 'SGLP-0040_S39_L002_R1_001.fastq.gz': '63d000ad9280eb0c48889e9d665bf16c'}","{'SGLP-0040_S39_L001_R2_001.fastq.gz': '3c707bd34988d017a26f727dd4275ead', 'SGLP-0040_S39_L002_R2_001.fastq.gz': '99a3d8715718ebd63e71419a445d8328'}",SGLP-0040_S39_L001_R1_001.fastq.gz,{}
3156,3156,SGLP-0041,SGPC-02,SGLP-0041_S40_L001_R1_001.fastq.gz;SGLP-0041_S40_L002_R1_001.fastq.gz,c2014fc05e168a23862ead983a2d9c28;5a9893550ddbcb922fa9a268cb91f98c,1276985;1324118,SGLP-0041_S40_L001_R2_001.fastq.gz;SGLP-0041_S40_L002_R2_001.fastq.gz,b55aa62b10f316b3c4ddc939f85daf91;bf00b2622490742d2809380d398ff394,1276985;1324118,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0041_S40_L001_R1_001.fastq.gz': 'c2014fc05e168a23862ead983a2d9c28', 'SGLP-0041_S40_L002_R1_001.fastq.gz': '5a9893550ddbcb922fa9a268cb91f98c'}","{'SGLP-0041_S40_L001_R2_001.fastq.gz': 'b55aa62b10f316b3c4ddc939f85daf91', 'SGLP-0041_S40_L002_R2_001.fastq.gz': 'bf00b2622490742d2809380d398ff394'}",SGLP-0041_S40_L001_R1_001.fastq.gz,{}
3157,3157,SGLP-0042,SGPC-02,SGLP-0042_S41_L001_R1_001.fastq.gz;SGLP-0042_S41_L002_R1_001.fastq.gz,205164d49d4fcb936fe3be9ef3c4e04e;3327602753cb4b2962c9e54cb1534a14,1738510;1803882,SGLP-0042_S41_L001_R2_001.fastq.gz;SGLP-0042_S41_L002_R2_001.fastq.gz,1b72525180ccf1bacf42407ba1a38d47;a255afba33100f7f5c3b17374864e376,1738510;1803882,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0042_S41_L001_R1_001.fastq.gz': '205164d49d4fcb936fe3be9ef3c4e04e', 'SGLP-0042_S41_L002_R1_001.fastq.gz': '3327602753cb4b2962c9e54cb1534a14'}","{'SGLP-0042_S41_L001_R2_001.fastq.gz': '1b72525180ccf1bacf42407ba1a38d47', 'SGLP-0042_S41_L002_R2_001.fastq.gz': 'a255afba33100f7f5c3b17374864e376'}",SGLP-0042_S41_L001_R1_001.fastq.gz,{}
3158,3158,SGLP-0043,SGPC-02,SGLP-0043_S42_L001_R1_001.fastq.gz;SGLP-0043_S42_L002_R1_001.fastq.gz,d12fa1dc44b735e0f97cf61461d0edb5;700447f39c9b34cb8aa04f4d9c67ccff,1319532;1367254,SGLP-0043_S42_L001_R2_001.fastq.gz;SGLP-0043_S42_L002_R2_001.fastq.gz,4d15e066118ceb61fac40b337f44d1eb;a9a3e4b972a69c5869e6356266517dff,1319532;1367254,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0043_S42_L001_R1_001.fastq.gz': 'd12fa1dc44b735e0f97cf61461d0edb5', 'SGLP-0043_S42_L002_R1_001.fastq.gz': '700447f39c9b34cb8aa04f4d9c67ccff'}","{'SGLP-0043_S42_L001_R2_001.fastq.gz': '4d15e066118ceb61fac40b337f44d1eb', 'SGLP-0043_S42_L002_R2_001.fastq.gz': 'a9a3e4b972a69c5869e6356266517dff'}",SGLP-0043_S42_L001_R1_001.fastq.gz,{}
3159,3159,SGLP-0044,SGPC-02,SGLP-0044_S43_L001_R1_001.fastq.gz;SGLP-0044_S43_L002_R1_001.fastq.gz,ec07a437134a84ebc1e7b95251c632ab;ab5f444beb808c681250dc43fad3e9f6,1057845;1095594,SGLP-0044_S43_L001_R2_001.fastq.gz;SGLP-0044_S43_L002_R2_001.fastq.gz,c1084d5da04f37ac9833805262cab99a;260b92cd24d19b371cfbd2ca0e139547,1057845;1095594,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0044_S43_L001_R1_001.fastq.gz': 'ec07a437134a84ebc1e7b95251c632ab', 'SGLP-0044_S43_L002_R1_001.fastq.gz': 'ab5f444beb808c681250dc43fad3e9f6'}","{'SGLP-0044_S43_L001_R2_001.fastq.gz': 'c1084d5da04f37ac9833805262cab99a', 'SGLP-0044_S43_L002_R2_001.fastq.gz': '260b92cd24d19b371cfbd2ca0e139547'}",SGLP-0044_S43_L001_R1_001.fastq.gz,{}
3160,3160,SGLP-0045,SGPC-02,SGLP-0045_S44_L001_R1_001.fastq.gz;SGLP-0045_S44_L002_R1_001.fastq.gz,a7439d78ac629422524ff830e1e2719a;7047cc50b3c05a636cae1421543511ac,1213735;1256551,SGLP-0045_S44_L001_R2_001.fastq.gz;SGLP-0045_S44_L002_R2_001.fastq.gz,7599ea2e0f598947de060b6fc8924033;a118c5eef7367e0a31547a0d91666175,1213735;1256551,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0045_S44_L001_R1_001.fastq.gz': 'a7439d78ac629422524ff830e1e2719a', 'SGLP-0045_S44_L002_R1_001.fastq.gz': '7047cc50b3c05a636cae1421543511ac'}","{'SGLP-0045_S44_L001_R2_001.fastq.gz': '7599ea2e0f598947de060b6fc8924033', 'SGLP-0045_S44_L002_R2_001.fastq.gz': 'a118c5eef7367e0a31547a0d91666175'}",SGLP-0045_S44_L001_R1_001.fastq.gz,{}
3161,3161,SGLP-0046,SGPC-02,SGLP-0046_S45_L001_R1_001.fastq.gz;SGLP-0046_S45_L002_R1_001.fastq.gz,f69f2167f5be94acc4844ab614a763dd;e8aa292b684103e671b4376e7ba33545,1277711;1324713,SGLP-0046_S45_L001_R2_001.fastq.gz;SGLP-0046_S45_L002_R2_001.fastq.gz,b108b894f12edffaa20b1cab75f65200;9adc647aa8edeec65b8c027b6716e505,1277711;1324713,Yes,HiSeqData/SGPC-02/ihg-client.ucsf.edu/bastianb/170922_D00328_0699_AHVWHNBCXY_bastianb-SGPC-002,"{'SGLP-0046_S45_L001_R1_001.fastq.gz': 'f69f2167f5be94acc4844ab614a763dd', 'SGLP-0046_S45_L002_R1_001.fastq.gz': 'e8aa292b684103e671b4376e7ba33545'}","{'SGLP-0046_S45_L001_R2_001.fastq.gz': 'b108b894f12edffaa20b1cab75f65200', 'SGLP-0046_S45_L002_R2_001.fastq.gz': '9adc647aa8edeec65b8c027b6716e505'}",SGLP-0046_S45_L001_R1_001.fastq.gz,{}
